timestamp_us,op_type,chunk_id,latency_us,ok,bytes
1776916149762129,PUT,chunk_0,9,0,4096
1776916149762134,GET,chunk_0,9,0,0
1776916149762119,GET,chunk_0,10,0,0
1776916149762138,GET,chunk_0,10,0,0
1776916149762142,PUT,chunk_0,12,0,4096
1776916149762152,GET,chunk_0,10,0,0
1776916149762157,GET,chunk_0,9,0,0
1776916149762163,GET,chunk_0,11,0,0
1776916149762147,GET,chunk_0,12,0,0
1776916149762173,GET,chunk_0,9,0,0
1776916149762178,GET,chunk_0,9,0,0
1776916149762166,GET,chunk_0,10,0,0
1776916149762183,GET,chunk_0,10,0,0
1776916149762191,GET,chunk_1,10,0,0
1776916149762196,GET,chunk_0,9,0,0
1776916149762201,PUT,chunk_0,9,0,4096
1776916149762206,PUT,chunk_0,9,0,4096
1776916149762210,PUT,chunk_0,10,0,4096
1776916149762215,PUT,chunk_2,9,0,4096
1776916149762220,PUT,chunk_0,9,0,4096
1776916149762224,GET,chunk_0,9,0,0
1776916149762228,PUT,chunk_0,10,0,4096
1776916149762233,GET,chunk_0,9,0,0
1776916149762238,PUT,chunk_0,9,0,4096
1776916149762242,PUT,chunk_0,10,0,4096
1776916149762247,PUT,chunk_0,10,0,4096
1776916149762252,PUT,chunk_0,9,0,4096
1776916149762257,GET,chunk_4,9,0,0
1776916149762261,PUT,chunk_0,9,0,4096
1776916149762187,GET,chunk_0,11,0,0
1776916149762266,GET,chunk_0,10,0,0
1776916149762270,GET,chunk_4,13,0,0
1776916149762280,GET,chunk_0,11,0,0
1776916149762285,GET,chunk_0,10,0,0
1776916149762290,PUT,chunk_0,9,0,4096
1776916149762275,PUT,chunk_0,12,0,4096
1776916149762295,GET,chunk_0,11,0,0
1776916149762304,GET,chunk_0,10,0,0
1776916149762309,GET,chunk_0,9,0,0
1776916149762299,GET,chunk_0,13,0,0
1776916149762318,GET,chunk_0,10,0,0
1776916149762322,GET,chunk_0,10,0,0
1776916149762327,GET,chunk_0,10,0,0
1776916149762332,GET,chunk_4,9,0,0
1776916149762337,GET,chunk_0,9,0,0
1776916149762341,GET,chunk_0,9,0,0
1776916149762315,PUT,chunk_0,10,0,4096
1776916149762346,GET,chunk_0,10,0,0
1776916149762355,PUT,chunk_0,10,0,4096
1776916149762360,GET,chunk_0,9,0,0
1776916149762365,GET,chunk_2,9,0,0
1776916149762350,GET,chunk_3,10,0,0
1776916149762369,GET,chunk_0,11,0,0
1776916149762378,GET,chunk_0,10,0,0
1776916149762384,PUT,chunk_0,9,0,4096
1776916149762374,PUT,chunk_1,11,0,4096
1776916149762389,PUT,chunk_0,9,0,4096
1776916149762393,GET,chunk_0,10,0,0
1776916149762402,GET,chunk_0,11,0,0
1776916149762407,PUT,chunk_0,10,0,4096
1776916149762413,GET,chunk_0,9,0,0
1776916149762417,GET,chunk_1,9,0,0
1776916149762397,GET,chunk_3,11,0,0
1776916149762426,GET,chunk_0,10,0,0
1776916149762431,PUT,chunk_0,9,0,4096
1776916149762422,GET,chunk_4,10,0,0
1776916149762436,PUT,chunk_0,10,0,4096
1776916149762445,PUT,chunk_4,10,0,4096
1776916149762450,PUT,chunk_0,9,0,4096
1776916149762441,GET,chunk_3,10,0,0
1776916149762455,GET,chunk_0,9,0,0
1776916149762463,GET,chunk_0,11,0,0
1776916149762468,PUT,chunk_0,10,0,4096
1776916149762474,GET,chunk_0,9,0,0
1776916149762478,PUT,chunk_0,9,0,4096
1776916149762483,GET,chunk_0,9,0,0
1776916149762459,PUT,chunk_0,10,0,4096
1776916149762492,GET,chunk_0,10,0,0
1776916149762496,GET,chunk_0,10,0,0
1776916149762488,PUT,chunk_0,9,0,4096
1776916149762506,GET,chunk_0,9,0,0
1776916149762510,PUT,chunk_1,9,0,4096
1776916149762515,GET,chunk_0,9,0,0
1776916149762501,GET,chunk_0,10,0,0
1776916149762524,PUT,chunk_0,11,0,4096
1776916149762529,GET,chunk_0,10,0,0
1776916149762535,GET,chunk_0,9,0,0
1776916149762539,GET,chunk_0,10,0,0
1776916149762520,GET,chunk_0,10,0,0
1776916149762554,GET,chunk_0,11,0,0
1776916149762548,GET,chunk_0,11,0,0
1776916149762543,PUT,chunk_0,11,0,4096
1776916149762569,PUT,chunk_0,8,0,4096
1776916149762574,GET,chunk_0,10,0,0
1776916149762580,GET,chunk_0,10,0,0
1776916149762584,GET,chunk_2,11,0,0
1776916149762565,GET,chunk_0,25,0,0
1776916149762588,GET,chunk_3,9,0,0
1776916149762595,GET,chunk_0,9,0,0
1776916149762600,GET,chunk_0,8,0,0
1776916149762612,GET,chunk_0,9,0,0
1776916149762618,GET,chunk_0,9,0,0
1776916149762626,GET,chunk_3,9,0,0
1776916149762623,GET,chunk_0,9,0,0
1776916149762636,PUT,chunk_0,8,0,4096
1776916149762640,PUT,chunk_0,9,0,4096
1776916149762607,PUT,chunk_0,13,0,4096
1776916149762649,GET,chunk_0,11,0,0
1776916149762654,GET,chunk_0,10,0,0
1776916149762645,GET,chunk_0,10,0,0
1776916149762660,GET,chunk_0,12,0,0
1776916149762665,GET,chunk_0,11,0,0
1776916149762672,GET,chunk_0,10,0,0
1776916149762668,GET,chunk_0,11,0,0
1776916149762678,GET,chunk_0,10,0,0
1776916149762687,PUT,chunk_0,10,0,4096
1776916149762692,PUT,chunk_0,9,0,4096
1776916149762683,GET,chunk_0,10,0,0
1776916149762701,GET,chunk_0,10,0,0
1776916149762705,GET,chunk_4,10,0,0
1776916149762710,GET,chunk_3,9,0,0
1776916149762698,GET,chunk_0,11,0,0
1776916149762720,GET,chunk_0,9,0,0
1776916149762724,PUT,chunk_0,9,0,4096
1776916149762715,PUT,chunk_0,9,0,4096
1776916149762733,PUT,chunk_0,10,0,4096
1776916149762738,GET,chunk_0,9,0,0
1776916149762730,PUT,chunk_0,11,0,4096
1776916149762748,PUT,chunk_0,10,0,4096
1776916149762752,GET,chunk_0,10,0,0
1776916149762743,PUT,chunk_2,10,0,4096
1776916149762758,PUT,chunk_0,9,0,4096
1776916149762766,GET,chunk_0,10,0,0
1776916149762771,GET,chunk_0,9,0,0
1776916149762762,PUT,chunk_0,11,0,4096
1776916149762777,GET,chunk_0,10,0,0
1776916149762781,PUT,chunk_0,11,0,4096
1776916149762785,GET,chunk_0,10,0,0
1776916149762793,GET,chunk_2,9,0,0
1776916149762799,GET,chunk_0,9,0,0
1776916149762805,GET,chunk_0,8,0,0
1776916149762810,GET,chunk_0,9,0,0
1776916149762816,PUT,chunk_0,9,0,4096
1776916149762821,GET,chunk_0,9,0,0
1776916149762827,GET,chunk_0,8,0,0
1776916149762832,GET,chunk_0,9,0,0
1776916149762837,GET,chunk_0,8,0,0
1776916149762843,GET,chunk_0,9,0,0
